"","userAgeBracket","date","sessions","hits","bounceRate","users","avgSessionDuration"
"1","18-24","20160606",112,335,79.4642857142857,110,49.6428571428571
"2","25-34","20160606",288,873,84.0277777777778,275,46.0416666666667
"3","35-44","20160606",245,626,87.3469387755102,240,36.5265306122449
"4","45-54","20160606",101,295,80.1980198019802,98,34.0594059405941
"5","55-64","20160606",99,268,80.8080808080808,97,30.7272727272727
"6","65+","20160606",19,46,84.2105263157895,19,8
"7","18-24","20160605",124,342,76.6129032258064,120,44.3064516129032
"8","25-34","20160605",277,793,84.8375451263538,271,33.5090252707581
"9","35-44","20160605",303,731,86.4686468646865,299,37.2508250825082
"10","45-54","20160605",138,429,78.9855072463768,135,24.4202898550725
"11","55-64","20160605",123,327,78.0487804878049,121,16.5853658536585
"12","65+","20160605",23,66,69.5652173913043,22,12.5652173913043
"13","18-24","20160604",58,219,79.3103448275862,58,39.5344827586207
"14","25-34","20160604",175,508,85.7142857142857,167,56.6114285714286
"15","35-44","20160604",185,511,79.4594594594595,181,41.2432432432432
"16","45-54","20160604",109,274,84.4036697247707,105,29.4128440366972
"17","55-64","20160604",95,270,77.8947368421053,93,35.4421052631579
"18","65+","20160604",21,91,85.7142857142857,21,32
"19","18-24","20160603",44,124,84.0909090909091,40,39.3863636363636
"20","25-34","20160603",91,332,80.2197802197802,84,64.021978021978
"21","35-44","20160603",76,271,73.6842105263158,76,37.5
"22","45-54","20160603",51,141,76.4705882352941,48,55.8235294117647
"23","55-64","20160603",40,96,85,39,10.85
"24","65+","20160603",11,26,81.8181818181818,11,10
"25","18-24","20160602",29,80,75.8620689655172,26,96.8965517241379
"26","25-34","20160602",37,126,75.6756756756757,36,63.7297297297297
"27","35-44","20160602",39,143,69.2307692307692,38,108.358974358974
"28","45-54","20160602",34,102,73.5294117647059,32,32.8235294117647
"29","55-64","20160602",25,64,76,25,60.8
"30","18-24","20160601",23,65,78.2608695652174,23,42.304347826087
"31","25-34","20160601",16,102,68.75,16,42.75
"32","35-44","20160601",34,248,73.5294117647059,33,124.235294117647
